run,method,b,omega,residual
1,Self_DE,0.18906662083007758,1.7574521439911617,0.007321610813819197
2,Self_DE,0.18091587263173436,1.88010568114539,0.17028044391419977
3,Self_DE,0.19359696323716755,1.7568067432693495,0.008049468098392083
4,Self_DE,0.2047686680372992,1.773335938488801,0.015428487158146034
5,Self_DE,0.18904909922806962,1.757449921308399,0.007321614901364241
6,Self_DE,0.1890936334867554,1.7574910799306027,0.007321645325353589
7,Self_DE,0.18913840616896332,1.7581843890344027,0.0073311125587589105
8,Self_DE,0.18908165563625728,1.7573372041643556,0.007321753855430109
9,Self_DE,0.17334379735169203,1.7542285099637056,0.019295900462629578
10,Self_DE,0.18905103329885165,1.7574496374411723,0.0073216180221017235
11,Self_DE,0.18904696501977886,1.7574496496968584,0.007321622099824982
12,Self_DE,0.18906418637926384,1.7574541444905487,0.007321611043808047
