run,method,b,omega,residual,,,,
1,differential_evolution,0.18929977,1.757519929,0.006018651,,,,
2,differential_evolution,0.189610547,1.757143153,0.005014296,,,,
3,differential_evolution,0.188269638,1.756567946,0.003584338,,,,
4,differential_evolution,0.188977568,1.756080792,0.002880823,,,,
5,differential_evolution,0.188874076,1.756666522,0.002304221,,,,
6,differential_evolution,0.189722017,1.756922083,0.001868682,,,,
7,differential_evolution,0.187393456,1.757141447,0.001309629,,,,
8,differential_evolution,0.188727495,1.757360149,0.00111575,,,,
9,differential_evolution,0.190610118,1.756887511,0.000924671,,,,0.000920499
10,differential_evolution,0.190435411,1.756128689,0.000588867,,,,
11,differential_evolution,0.180513891,1.754439529,0.000228599,,,,
12,differential_evolution,0.180517611,1.755132924,0.000194597,,,,
